"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","885","shouldNotBeAbleToCreateTodoWithoutAuth","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","shouldNotBeAbleToCreateTodoWithoutAuth"
"","1714","getTodoById","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","getTodoById"
"","1458","LoginWithValidCredentials","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","LoginWithValidCredentials"
"","903","getAllTodos","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","getAllTodos"
"","885","registerWithInvalidPasswordLength","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","registerWithInvalidPasswordLength"
"","888","shouldNotBeAbleToCreateTodoWithoutItem","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","shouldNotBeAbleToCreateTodoWithoutItem"
"","693","shouldNotBeAbleToRegisterWithEmptyPassword","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","shouldNotBeAbleToRegisterWithEmptyPassword"
"","1580","LoginWithInvalidCredentials","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","LoginWithInvalidCredentials"
"","885","shouldnotbeabletocreatetodowithoutiscompleted","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","shouldnotbeabletocreatetodowithoutiscompleted"
"","689","shouldNotBeAbleToRegisterWithEmptyEmail","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","shouldNotBeAbleToRegisterWithEmptyEmail"
"","1448","deleteTodoById","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","deleteTodoById"
"","1640","shouldBeAbleToRegister","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","shouldBeAbleToRegister"
"","883","shouldBeAbleToCreateTodo","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.TodoTest","Command line test","com.qacart.todo.testcases.TodoTest","shouldBeAbleToCreateTodo"
"","1398","shouldNotBeAbleToRegisterWithExistingEmail","Command line suite","2026-07-04","passed","2026-07-04","com.qacart.todo.testcases.UserTest","Command line test","com.qacart.todo.testcases.UserTest","shouldNotBeAbleToRegisterWithExistingEmail"
